rooms,square,living_space,kitchen_scace,curr_floor,max_floor,home_type,build_year,district,serv_lift,pass_lift,parking,loggia,balcony,garbage_chute,bathroom,repair_type,wind_view,emergency_exit,avg_price_for_m,avg_room_price,price
0,26.5,16.8,3.0,2,19,Панельный,2018,Советский,1,1,1,1,0,0,nan,Евроремонт,Во двор,nan,257326.0,22605996.0,153800.0
1,33.0,17.0,5.0,5,5,nan,1966,Советский,0,0,0,0,1,0,nan,nan,nan,1,255918.0,21292776.0,150000.0
1,52.7,23.6,15.0,21,23,nan,nan,Кировский,0,1,1,0,1,0,nan,nan,nan,1,268787.0,2863512.0,390000.0
1,36.2,14.9,11.1,1,9,nan,nan,Советский,0,1,1,0,0,0,nan,nan,nan,nan,268787.0,2863512.0,157470.0
0,27.93,18.7,nan,14,25,nan,nan,Ленинский,0,1,1,0,1,0,nan,nan,nan,nan,268787.0,2863512.0,157920.0
1,24.0,12.0,6.0,7,9,nan,1985,Ворошиловский,0,1,0,1,0,0,nan,nan,nan,1,257326.0,22605996.0,155000.0
2,30.0,20.0,5.0,1,2,nan,1917,Кировский,0,0,1,0,0,0,nan,nan,nan,1,268787.0,40353355.0,155000.0
2,34.0,25.0,4.0,2,9,nan,1982,Октябрьский,0,1,0,0,1,0,nan,nan,nan,1,259116.0,31324353.0,155000.0
1,33.52,14.3,9.8,2,25,nan,nan,Ленинский,0,1,1,0,1,0,nan,nan,nan,nan,259116.0,31324353.0,164936.0
1,32.24,14.3,8.3,17,20,nan,nan,Советский,0,1,1,1,0,0,nan,nan,nan,nan,259116.0,31324353.0,161845.0
1,32.6,13.6,9.2,7,14,nan,nan,Советский,0,1,1,0,1,0,nan,nan,nan,nan,259116.0,31324353.0,163978.0
1,31.0,17.0,6.0,4,9,nan,1984,Ворошиловский,0,1,0,0,1,1,nan,nan,nan,1,257326.0,22605996.0,160000.0
0,27.37,18.7,nan,23,25,nan,nan,Ленинский,0,1,1,0,1,0,nan,nan,nan,nan,257326.0,22605996.0,162288.0
0,30.81,21.0,nan,2,25,nan,nan,Ленинский,0,1,1,0,1,0,nan,nan,nan,nan,257326.0,22605996.0,160600.0
